day,new_users,total_users,active_users
2026-03-29,1,1,1
2026-03-30,3,4,3
2026-03-31,77,81,43
2026-04-01,22,103,34
2026-04-02,7,110,33
2026-04-03,15,125,48
2026-04-04,0,125,13
2026-04-05,138,263,66
2026-04-06,31,294,122
2026-04-07,22,316,95
2026-04-08,15,331,141
2026-04-09,24,355,122
2026-04-10,10,365,143
2026-04-11,17,382,87
2026-04-12,6,388,26
2026-04-13,8,396,124
2026-04-14,53,449,159
2026-04-15,13,462,157
2026-04-16,104,566,192
2026-04-17,15,581,190
2026-04-18,12,593,112
2026-04-19,3,596,95
2026-04-20,7,603,173
2026-04-21,7,610,166
2026-04-22,3,613,189
2026-04-23,7,620,171
2026-04-24,24,644,190
2026-04-25,6,650,130
2026-04-26,2,652,58
2026-04-27,3,655,183
2026-04-28,4,659,190
2026-04-29,5,664,178
2026-04-30,14,678,179
2026-05-01,15,693,155
2026-05-02,0,693,147
2026-05-03,2,695,106
2026-05-04,2,697,178
2026-05-05,1,698,172
2026-05-06,3,701,161
2026-05-07,2,703,128
2026-05-08,4,707,171
2026-05-09,6,713,106
2026-05-10,6,719,49
2026-05-11,1,720,171
2026-05-12,3,723,104
2026-05-13,3,726,141
2026-05-14,2,728,95
2026-05-15,3,731,174
2026-05-16,13,744,83
2026-05-17,2,746,51
2026-05-18,1,747,0
2026-05-19,1,748,107
2026-05-20,20,768,64
2026-05-21,26,794,161
2026-05-22,1,795,137
2026-05-23,5,800,79
2026-05-24,1,801,120
2026-05-25,3,804,151
2026-05-26,1,805,22
2026-05-27,1,806,8
2026-05-28,0,806,6
2026-05-29,3,809,129
2026-05-30,0,809,78
2026-05-31,0,809,176
2026-06-01,25,834,195
2026-06-02,7,841,129
2026-06-03,4,845,33
