day,new_users,total_users,active_users,new_activated_users,total_activated_users,new_users_7d_avg,active_users_7d_avg
2026-03-29,1,1,0,0,0,1.0,0.0
2026-03-30,3,4,3,3,3,2.0,1.5
2026-03-31,77,81,43,41,44,27.0,15.33
2026-04-01,22,103,34,12,56,25.75,20.0
2026-04-02,8,111,33,6,62,22.2,22.6
2026-04-03,14,125,44,9,71,20.83,26.17
2026-04-04,0,125,19,3,74,17.86,25.14
2026-04-05,138,263,66,23,97,37.43,34.57
2026-04-06,32,295,122,54,151,41.57,51.57
2026-04-07,22,317,95,12,163,33.71,59.0
2026-04-08,14,331,141,32,195,32.57,74.29
2026-04-09,25,356,122,16,211,35.0,87.0
2026-04-10,9,365,147,10,221,34.29,101.71
2026-04-11,18,383,95,3,224,36.86,112.57
2026-04-12,5,388,33,1,225,17.86,107.86
2026-04-13,8,396,124,5,230,14.43,108.14
2026-04-14,53,449,160,28,258,18.86,117.43
2026-04-15,13,462,150,2,260,18.71,118.71
2026-04-16,105,567,193,37,297,30.14,128.86
2026-04-17,14,581,200,23,320,30.86,136.43
2026-04-18,13,594,133,5,325,30.14,141.86
2026-04-19,2,596,99,3,328,29.71,151.29
2026-04-20,9,605,180,4,332,29.86,159.29
2026-04-21,5,610,166,4,336,23.0,160.14
2026-04-22,4,614,194,7,343,21.71,166.43
2026-04-23,6,620,180,5,348,7.57,164.57
2026-04-24,24,644,191,6,354,9.0,163.29
2026-04-25,6,650,71,7,361,8.0,154.43
2026-04-26,2,652,140,0,361,8.0,160.29
2026-04-27,3,655,199,0,361,7.14,163.0
2026-04-28,5,660,190,3,364,7.14,166.43
2026-04-29,4,664,178,3,367,7.14,164.14
2026-04-30,14,678,179,6,373,8.29,164.0
2026-05-01,15,693,153,8,381,7.0,158.57
2026-05-02,0,693,145,5,386,6.14,169.14
2026-05-03,2,695,113,1,387,6.14,165.29
2026-05-04,2,697,178,1,388,6.0,162.29
2026-05-05,1,698,160,2,390,5.43,158.0
2026-05-06,3,701,175,0,390,5.29,157.57
2026-05-07,2,703,143,2,392,3.57,152.43
2026-05-08,5,708,166,3,395,2.14,154.29
2026-05-09,5,713,64,2,397,2.86,142.71
2026-05-10,6,719,111,0,397,3.43,142.43
2026-05-11,1,720,171,4,401,3.29,141.43
2026-05-12,3,723,104,0,401,3.57,133.43
2026-05-13,3,726,141,3,404,3.57,128.57
2026-05-14,2,728,95,1,405,3.57,121.71
2026-05-15,3,731,166,2,407,3.29,121.71
2026-05-16,13,744,83,6,413,4.43,124.43
2026-05-17,2,746,59,0,413,3.86,117.0
2026-05-18,1,747,0,0,413,3.86,92.57
2026-05-19,1,748,107,0,413,3.57,93.0
2026-05-20,23,771,58,4,417,6.43,81.14
2026-05-21,23,794,160,15,432,9.43,90.43
2026-05-22,1,795,126,3,435,9.14,84.71
2026-05-23,5,800,108,2,437,8.0,88.29
2026-05-24,1,801,131,4,441,7.86,98.57
2026-05-25,3,804,151,3,444,8.14,120.14
2026-05-26,1,805,21,1,445,8.14,107.86
2026-05-27,1,806,11,1,446,5.0,101.14
2026-05-28,0,806,6,0,446,1.71,79.14
2026-05-29,3,809,120,4,450,2.0,78.29
2026-05-30,0,809,67,1,451,1.29,72.43
2026-05-31,0,809,178,2,453,1.14,79.14
2026-06-01,27,836,206,28,481,4.57,87.0
2026-06-02,6,842,136,8,489,5.29,103.43
2026-06-03,3,845,109,7,496,5.57,117.43
2026-06-04,1,846,27,2,498,5.71,120.43
2026-06-05,9,855,171,5,503,6.57,127.71
2026-06-06,4,859,138,3,506,7.14,137.86
2026-06-07,3,862,122,3,509,7.57,129.86
2026-06-08,4,866,211,6,515,4.29,130.57
2026-06-09,7,873,203,9,524,4.43,140.14
2026-06-10,0,873,145,2,526,4.0,145.29
2026-06-11,3,876,112,2,528,4.29,157.43
2026-06-12,3,879,184,4,532,3.43,159.29
2026-06-13,3,882,111,1,533,3.29,155.43
2026-06-14,3,885,161,5,538,3.29,161.0
2026-06-15,1,886,91,1,539,2.86,143.86
2026-06-16,2,888,186,1,540,2.14,141.43
2026-06-17,0,888,157,1,541,2.14,143.14
